Total tickers to process: 151
Starting processing...
Processed UNH: Success
Processed V: Success
Processed VRSK: Success
Processed URI: Success
Processed VRT: Success
Processed WCN: Success
Processed WMT: Success
Processed WTS: Success
Processed WM: Success
Processed WWD: Success

Successfully saved results to cqv_results.csv

### TABLA DE RESULTADOS CQV

| Acci�n | Nombre | F1 (Rent.) | F2 (Solidez) | F3 (Crec.) | F4 (Moat) | F5 (Proj.) | CQV Score |
| :--- | :--- | :---: | :---: | :---: | :---: | :---: | :---: |
| **MA** | Mastercard Incorporated | 10.00 | 9.00 | 9.33 | 9.80 | 9.50 | **9.60** |
| **V** | Visa Inc. | 9.89 | 9.00 | 9.33 | 9.80 | 9.50 | **9.57** |
| **AAPL** | Apple Inc. | 9.65 | 9.25 | 9.50 | 9.70 | 9.50 | **9.55** |
| **ASML** | ASML Holding N.V. - New York Re | 9.65 | 9.50 | 8.63 | 9.80 | 9.80 | **9.54** |
| **AVGO** | Broadcom Inc. | 9.86 | 9.25 | 8.83 | 9.50 | 9.70 | **9.49** |
| **FICO** | Fair Isaac Corporation | 9.92 | 7.94 | 9.50 | 9.90 | 9.60 | **9.49** |
| **ANET** | Arista Networks, Inc. | 10.00 | 9.50 | 8.83 | 9.10 | 9.60 | **9.44** |
| **ISRG** | Intuitive Surgical, Inc. | 9.28 | 9.25 | 9.33 | 9.60 | 9.60 | **9.43** |
| **MCO** | Moody's Corporation | 9.82 | 8.96 | 8.57 | 9.70 | 9.50 | **9.41** |
| **ADBE** | Adobe Inc. | 10.00 | 9.25 | 8.58 | 9.40 | 9.30 | **9.38** |
| **INTU** | Intuit Inc. | 10.00 | 9.25 | 8.32 | 9.50 | 9.30 | **9.37** |
| **PLTR** | Palantir Technologies Inc. | 9.54 | 9.50 | 8.83 | 9.20 | 9.70 | **9.37** |
| **SPGI** | S&P Global Inc. | 9.49 | 8.97 | 8.82 | 9.70 | 9.50 | **9.37** |
| **BKNG** | Booking Holdings Inc. Common St | 10.00 | 8.75 | 9.33 | 9.40 | 9.00 | **9.36** |
| **CSU** | CONSTELLATION SOFTWARE INC. | 9.22 | 9.25 | 9.27 | 9.60 | 9.30 | **9.34** |
| **RMS** | HERMES INTL | 9.79 | 9.00 | 8.10 | 9.80 | 9.20 | **9.30** |
| **MSCI** | MSCI Inc. | 9.83 | 7.42 | 9.23 | 9.70 | 9.60 | **9.30** |
| **TSM** | Taiwan Semiconductor Manufactur | 8.43 | 9.50 | 8.83 | 9.80 | 9.80 | **9.27** |
| **NOW** | ServiceNow, Inc. | 8.96 | 9.50 | 8.83 | 9.40 | 9.50 | **9.24** |
| **NVDA** | NVIDIA Corporation | 8.02 | 9.50 | 8.83 | 9.80 | 9.90 | **9.18** |
| **VRT** | Vertiv Holdings, LLC | 9.35 | 8.75 | 9.33 | 8.80 | 9.50 | **9.15** |
| **LLY** | Eli Lilly and Company | 8.36 | 9.00 | 9.33 | 9.50 | 9.70 | **9.15** |
| **MSFT** | Microsoft Corporation | 8.05 | 9.25 | 8.83 | 9.80 | 9.80 | **9.13** |
| **META** | Meta Platforms, Inc. | 8.36 | 8.75 | 9.33 | 9.50 | 9.60 | **9.10** |
| **RACE** | Ferrari N.V. | 9.16 | 8.75 | 8.02 | 9.70 | 9.20 | **9.07** |
| **ACN** | Accenture plc | 9.14 | 9.50 | 8.22 | 9.10 | 9.20 | **9.06** |
| **CRM** | Salesforce, Inc. | 9.50 | 8.46 | 8.64 | 9.10 | 9.10 | **9.04** |
| **CDNS** | Cadence Design Systems, Inc. | 10.00 | 9.25 | 8.83 | 8.20 | 8.50 | **8.96** |
| **GOOGL** | Alphabet Inc. | 7.48 | 9.00 | 9.33 | 9.60 | 9.60 | **8.94** |
| **FTNT** | Fortinet, Inc. | 9.77 | 9.50 | 8.83 | 8.20 | 8.50 | **8.94** |
| **ODFL** | Old Dominion Freight Line, Inc. | 9.53 | 9.00 | 7.34 | 9.20 | 9.00 | **8.93** |
| **CTAS** | Cintas Corporation | 9.13 | 8.75 | 8.66 | 9.10 | 8.80 | **8.93** |
| **CPRT** | Copart, Inc. | 9.09 | 9.00 | 7.90 | 9.30 | 9.00 | **8.93** |
| **MEDP** | Medpace Holdings, Inc. | 9.35 | 9.25 | 9.33 | 8.30 | 8.60 | **8.92** |
| **LVMH** | LVMH | 9.21 | 8.75 | 7.14 | 9.60 | 9.10 | **8.91** |
| **IDXX** | IDEXX Laboratories, Inc. | 9.43 | 9.00 | 9.26 | 8.30 | 8.60 | **8.89** |
| **COST** | Costco Wholesale Corporation | 7.81 | 9.00 | 9.33 | 9.50 | 9.00 | **8.88** |
| **DSGX** | The Descartes Systems Group Inc | 9.29 | 9.50 | 8.80 | 8.20 | 8.50 | **8.82** |
| **LRCX** | Lam Research Corporation | 9.30 | 9.50 | 8.83 | 8.20 | 8.50 | **8.82** |
| **NVO** | Novo Nordisk A/S | 7.00 | 9.00 | 9.33 | 9.50 | 9.70 | **8.81** |
| **MPWR** | Monolithic Power Systems, Inc. | 9.16 | 9.50 | 8.83 | 8.20 | 8.50 | **8.79** |
| **APH** | Amphenol Corporation | 9.42 | 9.04 | 8.83 | 8.20 | 8.50 | **8.79** |
| **NFLX** | Netflix, Inc. | 9.87 | 8.75 | 9.33 | 8.00 | 8.00 | **8.78** |
| **KNSL** | Kinsale Capital Group, Inc. | 10.00 | 9.00 | 8.80 | 8.00 | 8.00 | **8.77** |
| **TPL** | Texas Pacific Land Corporation | 7.00 | 9.00 | 9.33 | 9.50 | 9.50 | **8.77** |
| **MANH** | Manhattan Associates, Inc. | 9.56 | 9.50 | 7.99 | 8.20 | 8.50 | **8.76** |
| **ADI** | Analog Devices, Inc. | 9.11 | 9.25 | 8.83 | 8.20 | 8.50 | **8.74** |
| **TEL** | TE Connectivity plc | 9.11 | 9.25 | 8.78 | 8.20 | 8.50 | **8.73** |
| **EXLS** | ExlService Holdings, Inc. | 9.11 | 9.25 | 8.70 | 8.20 | 8.50 | **8.72** |
| **SAP** | SAP  SE | 9.50 | 9.50 | 7.83 | 8.20 | 8.50 | **8.72** |
| **APP** | Applovin Corporation | 9.62 | 8.75 | 9.33 | 8.00 | 8.00 | **8.72** |
| **KLAC** | KLA Corporation | 9.24 | 9.25 | 8.44 | 8.20 | 8.50 | **8.71** |
| **PRI** | Primerica, Inc. | 9.86 | 9.00 | 8.57 | 8.00 | 8.00 | **8.70** |
| **WCN** | Waste Connections, Inc. | 9.27 | 7.37 | 8.38 | 9.00 | 8.80 | **8.69** |
| **INFY** | Infosys Limited | 9.26 | 9.50 | 7.90 | 8.20 | 8.50 | **8.68** |
| **WM** | Waste Management, Inc. | 9.29 | 7.43 | 8.06 | 9.00 | 8.80 | **8.66** |
| **AMZN** | Amazon.com, Inc. | 6.47 | 8.75 | 9.33 | 9.60 | 9.60 | **8.65** |
| **HEI** | Heico Corporation | 9.21 | 8.54 | 9.77 | 8.00 | 8.00 | **8.65** |
| **BXSX** | Boston Scientific Corporation | 8.71 | 8.78 | 8.96 | 8.30 | 8.60 | **8.63** |
| **GWW** | W.W. Grainger, Inc. | 8.38 | 8.75 | 8.79 | 8.80 | 8.50 | **8.63** |
| **HWM** | Howmet Aerospace Inc. | 9.10 | 8.75 | 9.33 | 8.00 | 8.00 | **8.59** |
| **TDD** | The Trade Desk, Inc. | 9.17 | 9.00 | 8.98 | 8.00 | 8.00 | **8.59** |
| **UBER** | Uber Technologies, Inc. | 8.50 | 9.25 | 8.78 | 8.20 | 8.50 | **8.58** |
| **SHOP** | Shopify Inc. | 8.28 | 9.50 | 8.83 | 8.20 | 8.50 | **8.57** |
| **MSI** | Motorola Solutions, Inc. | 9.46 | 8.36 | 7.99 | 8.20 | 8.50 | **8.57** |
| **JBL** | Jabil Inc. | 8.48 | 9.25 | 8.48 | 8.20 | 8.50 | **8.53** |
| **PGR** | Progressive Corporation (The) | 9.10 | 9.00 | 8.63 | 8.00 | 8.00 | **8.52** |
| **AMD** | Advanced Micro Devices, Inc. | 8.09 | 9.50 | 8.83 | 8.20 | 8.50 | **8.52** |
| **IT** | Gartner, Inc. | 9.28 | 9.25 | 7.00 | 8.20 | 8.50 | **8.51** |
| **FLEX** | Flex Ltd. | 8.18 | 9.25 | 8.83 | 8.20 | 8.50 | **8.51** |
| **BRO** | Brown & Brown, Inc. | 9.33 | 7.77 | 9.33 | 8.00 | 8.00 | **8.50** |
| **PH** | Parker-Hannifin Corporation | 9.15 | 8.60 | 8.84 | 8.00 | 8.00 | **8.50** |
| **MLI** | Mueller Industries, Inc. | 8.62 | 9.00 | 9.33 | 8.00 | 8.00 | **8.50** |
| **GEV** | GE Vernova Inc. | 8.57 | 9.00 | 9.33 | 8.00 | 8.00 | **8.49** |
| **GE** | GE Aerospace | 8.72 | 8.75 | 9.33 | 8.00 | 8.00 | **8.49** |
| **AMAT** | Applied Materials, Inc. | 8.18 | 9.50 | 8.43 | 8.20 | 8.50 | **8.48** |
| **LIN** | Linde plc | 9.18 | 8.62 | 8.58 | 8.00 | 8.00 | **8.47** |
| **CRVL** | CorVel Corp. | 8.85 | 9.25 | 8.49 | 8.00 | 8.00 | **8.47** |
| **FAST** | Fastenal Company | 8.76 | 8.75 | 9.04 | 8.00 | 8.00 | **8.46** |
| **DECK** | Deckers Outdoor Corporation | 9.15 | 9.00 | 8.73 | 7.80 | 7.80 | **8.46** |
| **VRSK** | Verisk Analytics, Inc. | 10.00 | 7.65 | 8.10 | 8.00 | 8.00 | **8.46** |
| **BMI** | Badger Meter, Inc. | 9.34 | 9.50 | 6.17 | 8.20 | 8.50 | **8.44** |
| **PYPL** | PayPal Holdings, Inc. | 8.84 | 9.00 | 8.47 | 8.00 | 8.00 | **8.43** |
| **TMUS** | T-Mobile US, Inc. | 9.84 | 6.95 | 8.84 | 8.00 | 8.00 | **8.43** |
| **TT** | Trane Technologies plc | 9.04 | 8.75 | 8.33 | 8.00 | 8.00 | **8.42** |
| **WTS** | Watts Water Technologies, Inc. | 8.26 | 9.00 | 9.33 | 8.00 | 8.00 | **8.41** |
| **EPAM** | EPAM Systems, Inc. | 8.12 | 9.50 | 8.01 | 8.20 | 8.50 | **8.41** |
| **BRK** | Berkshire Hathaway Inc. New | 8.72 | 9.25 | 8.16 | 8.00 | 8.00 | **8.39** |
| **FSS** | Federal Signal Corporation | 8.32 | 8.75 | 9.33 | 8.00 | 8.00 | **8.39** |
| **HCA** | HCA Healthcare, Inc. | 8.95 | 7.53 | 8.14 | 8.30 | 8.60 | **8.38** |
| **EME** | EMCOR Group, Inc. | 8.03 | 9.00 | 9.33 | 8.00 | 8.00 | **8.36** |
| **MU** | Micron Technology, Inc. | 7.37 | 9.50 | 8.83 | 8.20 | 8.50 | **8.34** |
| **CSL** | Carlisle Companies Incorporated | 9.43 | 8.50 | 7.22 | 8.00 | 8.00 | **8.32** |
| **FIX** | Comfort Systems USA, Inc. | 8.90 | 8.75 | 7.78 | 8.00 | 8.00 | **8.30** |
| **PANW** | Palo Alto Networks, Inc. | 7.21 | 9.50 | 8.83 | 8.20 | 8.50 | **8.30** |
| **HLT** | Hilton Worldwide Holdings Inc. | 9.96 | 6.45 | 8.89 | 7.80 | 7.80 | **8.30** |
| **TDG** | Transdigm Group Incorporated | 9.64 | 5.90 | 9.33 | 8.00 | 8.00 | **8.29** |
| **ETN** | Eaton Corporation, PLC | 8.69 | 7.11 | 9.33 | 8.00 | 8.00 | **8.24** |
| **URI** | United Rentals, Inc. | 9.13 | 7.16 | 8.47 | 8.00 | 8.00 | **8.23** |
| **TTEK** | Tetra Tech, Inc. | 9.00 | 8.75 | 7.12 | 8.00 | 8.00 | **8.23** |
| **UNH** | UnitedHealth Group Incorporated | 7.88 | 8.39 | 7.89 | 8.30 | 8.60 | **8.21** |
| **TKO** | TKO Group Holdings, Inc. | 8.30 | 7.49 | 9.33 | 8.00 | 8.00 | **8.20** |
| **WWD** | Woodward, Inc. | 7.55 | 8.75 | 9.33 | 8.00 | 8.00 | **8.20** |
| **ORCL** | Oracle Corporation | 7.00 | 6.85 | 8.83 | 9.00 | 9.20 | **8.19** |
| **ORLY** | O'Reilly Automotive, Inc. | 8.39 | 8.23 | 8.97 | 7.80 | 7.80 | **8.19** |
| **PWR** | Quanta Services, Inc. | 7.93 | 8.08 | 9.33 | 8.00 | 8.00 | **8.19** |
| **DRS** | Leonardo DRS, Inc. | 7.90 | 9.00 | 8.32 | 8.00 | 8.00 | **8.17** |
| **SHW** | Sherwin-Williams Company (The) | 8.85 | 7.26 | 8.42 | 8.00 | 8.00 | **8.16** |
| **CAT** | Caterpillar, Inc. | 7.81 | 7.64 | 9.33 | 8.00 | 8.00 | **8.10** |
| **SKY** | Champion Homes, Inc. | 8.03 | 9.00 | 8.18 | 7.80 | 7.80 | **8.09** |
| **NVR** | NVR, Inc. | 9.09 | 9.00 | 6.33 | 7.80 | 7.80 | **8.08** |
| **AJG** | Arthur J. Gallagher & Co. | 7.68 | 7.63 | 9.33 | 8.00 | 8.00 | **8.06** |
| **RS** | Reliance, Inc. | 6.96 | 8.75 | 9.33 | 8.00 | 8.00 | **8.05** |
| **HD** | Home Depot, Inc. (The) | 8.44 | 7.86 | 8.20 | 7.80 | 7.80 | **8.03** |
| **JPM** | JP Morgan Chase & Co. | 6.71 | 9.25 | 9.08 | 8.00 | 8.00 | **8.03** |
| **TW** | Tradeweb Markets Inc. | 6.52 | 9.25 | 9.33 | 8.00 | 8.00 | **8.02** |
| **POOL** | Pool Corporation | 7.90 | 7.96 | 8.36 | 8.00 | 8.00 | **8.02** |
| **TSLA** | Tesla, Inc. | 7.06 | 9.00 | 9.33 | 7.80 | 7.80 | **8.02** |
| **RLI** | RLI Corp. | 7.22 | 9.25 | 8.11 | 8.00 | 8.00 | **8.01** |
| **LOW** | Lowe's Companies, Inc. | 8.40 | 7.12 | 8.81 | 7.80 | 7.80 | **8.00** |
| **MCK** | McKesson Corporation | 6.40 | 9.00 | 8.33 | 8.30 | 8.60 | **7.99** |
| **MPC** | Marathon Petroleum Corporation | 8.02 | 7.28 | 8.64 | 8.00 | 8.00 | **7.99** |
| **MUSA** | Murphy USA Inc. | 7.85 | 8.05 | 8.62 | 7.80 | 7.80 | **7.97** |
| **SPOT** | Spotify Technology S.A. | 6.92 | 9.00 | 8.58 | 8.00 | 8.00 | **7.97** |
| **BAH** | Booz Allen Hamilton Holding Cor | 8.61 | 7.67 | 6.94 | 8.00 | 8.00 | **7.94** |
| **FN** | Fabrinet | 5.75 | 9.50 | 8.83 | 8.20 | 8.50 | **7.94** |
| **EL** | Estee Lauder Companies, Inc. (T | 8.00 | 7.74 | 8.18 | 7.80 | 7.80 | **7.90** |
| **AZO** | AutoZone, Inc. | 7.69 | 7.39 | 8.77 | 7.80 | 7.80 | **7.86** |
| **RJF** | Raymond James Financial, Inc. | 5.99 | 9.25 | 9.12 | 8.00 | 8.00 | **7.85** |
| **WMT** | Walmart Inc. | 6.49 | 8.75 | 8.48 | 7.80 | 7.80 | **7.72** |
| **CEG** | Constellation Energy Corporatio | 6.26 | 7.66 | 9.33 | 8.00 | 8.00 | **7.71** |
| **CHDN** | Churchill Downs, Incorporated | 8.06 | 6.17 | 8.01 | 7.80 | 7.80 | **7.65** |
| **MELI** | MercadoLibre, Inc. | 5.83 | 8.57 | 9.33 | 7.80 | 7.80 | **7.65** |
| **HLI** | Houlihan Lokey, Inc. | 6.24 | 9.25 | 7.16 | 8.00 | 8.00 | **7.62** |
| **KBR** | KBR, Inc. | 7.72 | 6.77 | 7.14 | 8.00 | 8.00 | **7.62** |
| **MOH** | Molina Healthcare Inc | 5.40 | 9.25 | 7.19 | 8.30 | 8.60 | **7.61** |
| **CRWD** | CrowdStrike Holdings, Inc. | 4.05 | 9.50 | 8.83 | 8.20 | 8.50 | **7.51** |
| **NTRA** | Natera, Inc. | 3.60 | 9.25 | 9.33 | 8.30 | 8.60 | **7.48** |
| **BJ** | BJ's Wholesale Club Holdings, I | 5.73 | 7.82 | 8.77 | 7.80 | 7.80 | **7.43** |
| **BLDR** | Builders FirstSource, Inc. | 7.20 | 6.40 | 6.54 | 8.00 | 8.00 | **7.34** |
| **BABA** | Alibaba Group Holding Limited | 4.75 | 9.00 | 7.99 | 7.80 | 7.80 | **7.25** |
| **FDRL** | Floor & Decor Holdings, Inc. | 6.14 | 7.02 | 7.59 | 7.80 | 7.80 | **7.24** |
| **AXP** | American Express Company | 6.31 | 4.75 | 8.96 | 8.00 | 8.00 | **7.23** |
| **OR** | Ormat Technologies, Inc. | 5.30 | 6.04 | 9.33 | 8.00 | 8.00 | **7.23** |
| **APO** | Apollo Global Management, Inc.  | 4.81 | 9.25 | 6.64 | 8.00 | 8.00 | **7.19** |
| **LPLA** | LPL Financial Holdings Inc. | 5.74 | 4.75 | 9.33 | 8.00 | 8.00 | **7.15** |
| **SMH** | VanEck Semiconductor ETF | 3.60 | 9.00 | 8.22 | 8.00 | 8.00 | **7.08** |
| **MRSH** | MMC | 3.60 | 9.00 | 8.22 | 8.00 | 8.00 | **7.08** |
| **ABB** | ABB | 3.60 | 9.00 | 8.22 | 8.00 | 8.00 | **7.08** |
| **COR** | Cencora, Inc. | 2.78 | 8.16 | 8.09 | 8.30 | 8.60 | **6.93** |
| **AXON** | Axon Enterprise, Inc. | 4.63 | 4.50 | 9.33 | 8.00 | 8.00 | **6.83** |
